,timestamp_utc,settlement_date,settlement_period,boundary,publish_time_utc,transmission_system_demand,national_demand
0,2024-10-01T13:00:00Z,2024-10-01,29,N,2024-10-01T12:47:00Z,30980.0,29500.0
1,2024-10-01T13:30:00Z,2024-10-01,30,N,2024-10-01T12:47:00Z,31083.0,29603.0
2,2024-10-01T14:00:00Z,2024-10-01,31,N,2024-10-01T12:47:00Z,31117.0,29637.0
3,2024-10-01T14:30:00Z,2024-10-01,32,N,2024-10-01T12:47:00Z,31704.0,30224.0
4,2024-10-01T15:00:00Z,2024-10-01,33,N,2024-10-01T12:47:00Z,32490.0,30842.0
5,2024-10-01T15:30:00Z,2024-10-01,34,N,2024-10-01T12:47:00Z,33335.0,31687.0
6,2024-10-01T16:00:00Z,2024-10-01,35,N,2024-10-01T12:47:00Z,34297.0,32371.0
7,2024-10-01T16:30:00Z,2024-10-01,36,N,2024-10-01T12:47:00Z,34989.0,33063.0
8,2024-10-01T17:00:00Z,2024-10-01,37,N,2024-10-01T12:47:00Z,34735.0,33200.0
9,2024-10-01T17:30:00Z,2024-10-01,38,N,2024-10-01T12:47:00Z,35140.0,33605.0
10,2024-10-01T18:00:00Z,2024-10-01,39,N,2024-10-01T12:47:00Z,35280.0,33800.0
11,2024-10-01T18:30:00Z,2024-10-01,40,N,2024-10-01T12:47:00Z,34387.0,32907.0
12,2024-10-01T19:00:00Z,2024-10-01,41,N,2024-10-01T12:47:00Z,33295.0,31815.0
13,2024-10-01T19:30:00Z,2024-10-01,42,N,2024-10-01T12:47:00Z,32274.0,30794.0
14,2024-10-01T20:00:00Z,2024-10-01,43,N,2024-10-01T12:47:00Z,31051.0,29571.0
15,2024-10-01T20:30:00Z,2024-10-01,44,N,2024-10-01T12:47:00Z,29637.0,28157.0
16,2024-10-01T21:00:00Z,2024-10-01,45,N,2024-10-01T12:47:00Z,28094.0,26614.0
17,2024-10-01T21:30:00Z,2024-10-01,46,N,2024-10-01T12:47:00Z,26548.0,25064.0
18,2024-10-01T22:00:00Z,2024-10-01,47,N,2024-10-01T12:47:00Z,25405.0,23550.0
19,2024-10-01T22:30:00Z,2024-10-01,48,N,2024-10-01T12:47:00Z,23807.0,22300.0
20,2024-10-01T23:00:00Z,2024-10-02,1,N,2024-10-01T12:47:00Z,23676.0,21320.0
21,2024-10-01T23:30:00Z,2024-10-02,2,N,2024-10-01T12:47:00Z,23067.0,20903.0
22,2024-10-02T00:00:00Z,2024-10-02,3,N,2024-10-01T12:47:00Z,22750.0,20640.0
23,2024-10-02T00:30:00Z,2024-10-02,4,N,2024-10-01T12:47:00Z,22868.0,20760.0
24,2024-10-02T01:00:00Z,2024-10-02,5,N,2024-10-01T12:47:00Z,22340.0,20383.0
25,2024-10-02T01:30:00Z,2024-10-02,6,N,2024-10-01T12:47:00Z,21922.0,19966.0
26,2024-10-02T02:00:00Z,2024-10-02,7,N,2024-10-01T12:47:00Z,21685.0,19714.0
27,2024-10-02T02:30:00Z,2024-10-02,8,N,2024-10-01T12:47:00Z,21639.0,19670.0
28,2024-10-02T03:00:00Z,2024-10-02,9,N,2024-10-01T12:47:00Z,21664.0,19640.0
29,2024-10-02T03:30:00Z,2024-10-02,10,N,2024-10-01T12:47:00Z,21849.0,19829.0
30,2024-10-02T04:00:00Z,2024-10-02,11,N,2024-10-01T12:47:00Z,22419.0,20304.0
31,2024-10-02T04:30:00Z,2024-10-02,12,N,2024-10-01T12:47:00Z,23552.0,21441.0
32,2024-10-02T05:00:00Z,2024-10-02,13,N,2024-10-01T12:47:00Z,26742.0,24214.0
33,2024-10-02T05:30:00Z,2024-10-02,14,N,2024-10-01T12:47:00Z,29072.0,26544.0
