,timestamp_utc,settlement_date,settlement_period,imbalance_price
0,2024-05-04T22:00:00Z,2024-05-04,47,58.0
1,2024-05-04T22:30:00Z,2024-05-04,48,71.54
2,2024-05-04T23:00:00Z,2024-05-05,1,104.5
3,2024-05-04T23:30:00Z,2024-05-05,2,70.42
4,2024-05-05T00:00:00Z,2024-05-05,3,58.01
5,2024-05-05T00:30:00Z,2024-05-05,4,70.42
6,2024-05-05T01:00:00Z,2024-05-05,5,75.23
7,2024-05-05T01:30:00Z,2024-05-05,6,76.11
8,2024-05-05T02:00:00Z,2024-05-05,7,93.0
9,2024-05-05T02:30:00Z,2024-05-05,8,73.68
10,2024-05-05T03:00:00Z,2024-05-05,9,93.0
11,2024-05-05T03:30:00Z,2024-05-05,10,93.0
12,2024-05-05T04:00:00Z,2024-05-05,11,58.1
13,2024-05-05T04:30:00Z,2024-05-05,12,58.06
14,2024-05-05T05:00:00Z,2024-05-05,13,58.06
15,2024-05-05T05:30:00Z,2024-05-05,14,68.37
16,2024-05-05T06:00:00Z,2024-05-05,15,62.5
17,2024-05-05T06:30:00Z,2024-05-05,16,58.1
18,2024-05-05T07:00:00Z,2024-05-05,17,58.06
19,2024-05-05T07:30:00Z,2024-05-05,18,58.06
20,2024-05-05T08:00:00Z,2024-05-05,19,58.06
21,2024-05-05T08:30:00Z,2024-05-05,20,58.06
22,2024-05-05T09:00:00Z,2024-05-05,21,58.1
23,2024-05-05T09:30:00Z,2024-05-05,22,58.1
24,2024-05-05T10:00:00Z,2024-05-05,23,58.11
25,2024-05-05T10:30:00Z,2024-05-05,24,94.0
26,2024-05-05T11:00:00Z,2024-05-05,25,103.5
27,2024-05-05T11:30:00Z,2024-05-05,26,96.10028
28,2024-05-05T12:00:00Z,2024-05-05,27,105.0
29,2024-05-05T12:30:00Z,2024-05-05,28,104.01
30,2024-05-05T13:00:00Z,2024-05-05,29,106.6
31,2024-05-05T13:30:00Z,2024-05-05,30,98.96065
32,2024-05-05T14:00:00Z,2024-05-05,31,94.5
33,2024-05-05T14:30:00Z,2024-05-05,32,64.62
34,2024-05-05T15:00:00Z,2024-05-05,33,58.5
35,2024-05-05T15:30:00Z,2024-05-05,34,10.0
36,2024-05-05T16:00:00Z,2024-05-05,35,41.0
37,2024-05-05T16:30:00Z,2024-05-05,36,52.6
38,2024-05-05T17:00:00Z,2024-05-05,37,58.6
39,2024-05-05T17:30:00Z,2024-05-05,38,58.6
40,2024-05-05T18:00:00Z,2024-05-05,39,58.62
41,2024-05-05T18:30:00Z,2024-05-05,40,58.65
42,2024-05-05T19:00:00Z,2024-05-05,41,58.65
43,2024-05-05T19:30:00Z,2024-05-05,42,58.65
44,2024-05-05T20:00:00Z,2024-05-05,43,104.0
45,2024-05-05T20:30:00Z,2024-05-05,44,107.87187
46,2024-05-05T21:00:00Z,2024-05-05,45,95.00109
47,2024-05-05T21:30:00Z,2024-05-05,46,96.00016
