,forecast_date,publish_time_utc,margin
0,2024-10-06,2024-10-04T09:00:00Z,13973.0
1,2024-10-07,2024-10-04T09:00:00Z,8349.0
2,2024-10-08,2024-10-04T09:00:00Z,7852.0
3,2024-10-09,2024-10-04T09:00:00Z,17214.0
4,2024-10-10,2024-10-04T09:00:00Z,21050.0
5,2024-10-11,2024-10-04T09:00:00Z,18236.0
6,2024-10-12,2024-10-04T09:00:00Z,17271.0
7,2024-10-13,2024-10-04T09:00:00Z,15964.0
8,2024-10-14,2024-10-04T09:00:00Z,15174.0
9,2024-10-15,2024-10-04T09:00:00Z,14868.0
10,2024-10-16,2024-10-04T09:00:00Z,13631.0
11,2024-10-17,2024-10-04T09:00:00Z,14669.0
12,2024-10-18,2024-10-04T09:00:00Z,15523.0
