,timestamp_utc,settlement_date,settlement_period,data_provider,price,volume
0,2024-09-30T22:00:00Z,2024-09-30,47,APXMIDP,62.78,1438.45
1,2024-09-30T22:30:00Z,2024-09-30,48,APXMIDP,55.46,1246.9
2,2024-09-30T23:00:00Z,2024-10-01,1,APXMIDP,52.88,1347.9
3,2024-09-30T23:30:00Z,2024-10-01,2,APXMIDP,48.27,1312.4
4,2024-10-01T00:00:00Z,2024-10-01,3,APXMIDP,44.18,1427.85
5,2024-10-01T00:30:00Z,2024-10-01,4,APXMIDP,45.37,1505.35
6,2024-10-01T01:00:00Z,2024-10-01,5,APXMIDP,32.17,1380.25
7,2024-10-01T01:30:00Z,2024-10-01,6,APXMIDP,27.91,1418.35
8,2024-10-01T02:00:00Z,2024-10-01,7,APXMIDP,35.7,1722.8
9,2024-10-01T02:30:00Z,2024-10-01,8,APXMIDP,31.03,1715.05
10,2024-10-01T03:00:00Z,2024-10-01,9,APXMIDP,28.75,2090.0
11,2024-10-01T03:30:00Z,2024-10-01,10,APXMIDP,31.16,2149.35
12,2024-10-01T04:00:00Z,2024-10-01,11,APXMIDP,80.84,2077.6
13,2024-10-01T04:30:00Z,2024-10-01,12,APXMIDP,80.05,2143.8
14,2024-10-01T05:00:00Z,2024-10-01,13,APXMIDP,93.31,2725.45
15,2024-10-01T05:30:00Z,2024-10-01,14,APXMIDP,98.8,3046.85
16,2024-10-01T06:00:00Z,2024-10-01,15,APXMIDP,104.33,3297.65
17,2024-10-01T06:30:00Z,2024-10-01,16,APXMIDP,113.49,3487.05
18,2024-10-01T07:00:00Z,2024-10-01,17,APXMIDP,107.79,3069.5
19,2024-10-01T07:30:00Z,2024-10-01,18,APXMIDP,107.72,3123.65
20,2024-10-01T08:00:00Z,2024-10-01,19,APXMIDP,105.32,2768.7
21,2024-10-01T08:30:00Z,2024-10-01,20,APXMIDP,103.86,2900.55
22,2024-10-01T09:00:00Z,2024-10-01,21,APXMIDP,102.71,2580.05
23,2024-10-01T09:30:00Z,2024-10-01,22,APXMIDP,93.59,3077.2
24,2024-10-01T10:00:00Z,2024-10-01,23,APXMIDP,83.13,2545.7
25,2024-10-01T10:30:00Z,2024-10-01,24,APXMIDP,84.53,2190.4
26,2024-10-01T11:00:00Z,2024-10-01,25,APXMIDP,84.3,2338.1
27,2024-10-01T11:30:00Z,2024-10-01,26,APXMIDP,84.56,2466.9
28,2024-10-01T12:00:00Z,2024-10-01,27,APXMIDP,82.81,2190.1
29,2024-10-01T12:30:00Z,2024-10-01,28,APXMIDP,84.92,2757.45
30,2024-10-01T13:00:00Z,2024-10-01,29,APXMIDP,84.01,2622.4
