"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point","FORECAST_TIMESTAMP"
2,"2023-04-03",22135,"1F","F",30,30,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",21609,"1S","T",100,130,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",22187,"1A","P",200,300,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",21494,"4","F",400,400,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",21377,"1B","T",430,730,"Om","2023-04-01T15:37:36Z"
2,"2023-04-03",31510,"2F","P",800,900,"DM","2023-04-01T15:37:36Z"
2,"2023-04-03",31097,"2A","P",930,1030,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",28478,"2B","P",1100,1300,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",24986,"3B","T",1330,1630,"Dm","2023-04-01T15:37:36Z"
2,"2023-04-03",33206,"3C","P",1700,1900,NA,"2023-04-01T15:37:36Z"
2,"2023-04-03",34045,"4B","P",1930,2100,"EM","2023-04-01T15:37:36Z"
2,"2023-04-03",24382,"4C","F",2400,2400,NA,"2023-04-01T15:37:36Z"
2,"2023-04-04",22863,"1F","F",30,30,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",22377,"1S","T",100,130,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",22961,"1A","P",200,300,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",22246,"4","F",400,400,"Om","2023-04-02T16:09:58Z"
2,"2023-04-04",22328,"1B","T",430,730,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",30815,"2F","P",800,900,"DM","2023-04-02T16:09:58Z"
2,"2023-04-04",29933,"2A","P",930,1030,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",28082,"2B","P",1100,1300,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",25172,"3B","T",1330,1630,"Dm","2023-04-02T16:09:58Z"
2,"2023-04-04",32622,"3C","P",1700,1900,NA,"2023-04-02T16:09:58Z"
2,"2023-04-04",33767,"4B","P",1930,2100,"EM","2023-04-02T16:09:58Z"
2,"2023-04-04",24005,"4C","F",2400,2400,NA,"2023-04-02T16:09:58Z"
2,"2023-04-05",23444,"1F","F",30,30,NA,"2023-04-03T15:33:10Z"
