"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point"
2,20241021,17363,"1F","F",30,30,""
2,20241021,17074,"1S","T",100,130,""
2,20241021,18192,"1A","P",200,230,""
2,20241021,16612,"4","F",400,400,""
2,20241021,16480,"1B","T",430,730,"Om"
2,20241021,27235,"2F","F",800,800,""
2,20241021,30580,"2A","P",830,1200,"DM"
2,20241021,28557,"2B","P",1230,1300,""
2,20241021,27677,"3B","T",1330,1630,"Dm"
2,20241021,32326,"3C","P",1700,1800,""
2,20241021,34323,"4B","P",1830,2000,"EM"
2,20241021,21658,"4C","F",2400,2400,""
