publishTime,mrid,participantId,assetId,eventStartTime,eventEndTime,availableCapacity,fuelType,unavailabilityType,messageType,eventType,eventStatus,messageId
Wed Aug 02 2023 13:24:58 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Thu Aug 03 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,20496
Thu Aug 03 2023 11:12:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Thu Aug 10 2023 18:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,20623
Tue Aug 08 2023 14:58:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Wed Aug 09 2023 16:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,21223
Tue Aug 08 2023 15:10:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Tue Aug 22 2023 13:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,21228
Fri Aug 18 2023 10:39:04 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Sun Sep 03 2023 13:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,23116
Sun Sep 03 2023 11:50:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Wed Sep 06 2023 14:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25306
Mon Sep 04 2023 11:44:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001709,ORSTED03,T_HOWBO-3,Wed Aug 02 2023 12:51:00 GMT+0200 (Mitteleuropäische Sommerzeit),Mon Sep 04 2023 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),0,Wind Offshore,Unplanned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25463
Mon Sep 04 2023 11:44:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001745,ORSTED03,T_HOWBO-3,Mon Sep 04 2023 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Wed Sep 06 2023 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),110,Wind Offshore,Planned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25464
Tue Sep 05 2023 11:56:05 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001745,ORSTED03,T_HOWBO-3,Mon Sep 04 2023 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Thu Sep 07 2023 17:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),110,Wind Offshore,Planned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25636
Tue Sep 05 2023 16:50:50 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001745,ORSTED03,T_HOWBO-3,Mon Sep 04 2023 12:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Thu Sep 07 2023 18:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),110,Wind Offshore,Planned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25681
Wed Sep 06 2023 12:38:03 GMT+0200 (Mitteleuropäische Sommerzeit),11XDONG-PT-----2-NGET-RMT-00001745,ORSTED03,T_HOWBO-3,Tue Sep 05 2023 18:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),Wed Sep 13 2023 18:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),330,Wind Offshore,Planned,UnavailabilitiesOfElectricityFacilities,Production unavailability,Active,25892
