"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","FORECAST_ACTUAL_INDICATOR","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW"
"2024-09-01",1,19115,"A",21468,17640,1732,6622,0,16398,0,12,2930,973,192,-924,0,-523,10,1399,206,-394
"2024-09-01",2,18599,"A",20975,17250,1665,6622,0,16398,0,12,2971,958,180,-931,-5,-527,18,1399,188,-401
"2024-09-01",3,18091,"A",21018,16767,1632,6622,0,16398,0,12,2919,965,-20,-1030,9,-527,-255,1399,211,-583
"2024-09-01",4,18003,"A",20994,16708,1599,6622,0,16398,0,12,2997,963,-36,-1037,16,-526,-274,1399,215,-606
"2024-09-01",5,17772,"A",21388,16492,1597,6622,0,16398,0,18,2862,696,246,-1028,-73,-527,-475,1399,351,-995
"2024-09-01",6,17268,"A",21233,16064,1595,6622,0,16398,0,169,2783,674,269,-1030,-216,-527,-490,1399,366,-1033
"2024-09-01",7,16722,"A",21331,15509,1589,6622,0,16398,0,589,2691,662,109,-1038,-325,-526,-545,1399,517,-1086
"2024-09-01",8,16547,"A",21040,15329,1582,6622,0,16398,0,460,2696,660,98,-1039,-330,-527,-548,1399,531,-1089
"2024-09-01",9,16617,"A",21246,15368,1636,6622,0,16398,0,491,2658,518,322,-1001,-330,-526,-823,1399,530,-958
"2024-09-01",10,16441,"A",21270,15169,1689,6622,0,16398,0,687,2786,512,343,-997,-330,-527,-843,1399,527,-945
"2024-09-01",11,16722,"A",21670,15358,1687,6622,0,16398,0,584,2702,863,355,-1043,-330,-527,-992,1399,310,-972
"2024-09-01",12,16862,"A",21826,15428,1684,6622,0,16398,0,583,2547,893,357,-1044,-330,-527,-1002,1399,290,-978
